commodity,n
0,29
2495,29
2497,29
2498,29
4421,29
4420,29
4419,29
4418,29
2503,29
2504,29
2505,29
2506,29
2507,29
2508,29
2509,29
2510,29
2511,29
2512,29
2513,29
2514,29
2515,29
2516,29
2517,29
2518,29
2519,29
2520,29
2521,29
2496,29
2494,29
2338,29
2493,29
4429,29
4428,29
4427,29
4426,29
4425,29
4424,29
4423,29
4422,29
2476,29
2477,29
2478,29
2479,29
2480,29
2481,29
2482,29
2483,29
2484,29
2485,29
2486,29
2487,29
2488,29
2489,29
2490,29
2491,29
2492,29
2522,29
2523,29
4417,29
4416,29
2555,29
2556,29
2557,29
2558,29
2559,29
2560,29
2561,29
2562,29
4415,29
4414,29
4413,29
4412,29
2567,29
2568,29
2569,29
2570,29
2571,29
2572,29
2573,29
2574,29
2575,29
2577,29
2578,29
2579,29
2580,29
2554,29
2553,29
2552,29
2537,29
2526,29
2527,29
2528,29
2529,29
2530,29
2531,29
2532,29
2533,29
2534,29
2535,29
2536,29
2538,29
2551,29
2540,29
2541,29
2542,29
2543,29
2544,29
2545,29
2546,29
2547,29
2548,29
2549,29
2550,29
4430,29
4431,29
4432,29
2402,29
2371,29
2372,29
2373,29
2374,29
2375,29
2377,29
2379,29
2380,29
2381,29
2382,29
2383,29
2384,29
2385,29
2386,29
2387,29
2388,29
2389,29
2390,29
2391,29
2392,29
2394,29
2396,29
2397,29
2398,29
2399,29
2370,29
2369,29
2368,29
2351,29
2340,29
2341,29
2342,29
2343,29
2344,29
2345,29
2346,29
2347,29
2348,29
2349,29
2350,29
2352,29
2367,29
2353,29
2354,29
2355,29
4440,29
4439,29
4438,29
4437,29
4436,29
4435,29
2365,29
2366,29
2401,29
2403,29
4433,29
2404,29
2435,29
2436,29
2437,29
2438,29
2439,29
2440,29
2441,29
2442,29
2443,29
2444,29
2445,29
2446,29
2447,29
2448,29
2449,29
2450,29
2451,29
2452,29
2455,29
2456,29
2457,29
2458,29
2459,29
2460,29
2461,29
2434,29
2433,29
2432,29
2417,29
2405,29
2406,29
2407,29
2408,29
2409,29
2410,29
2411,29
2412,29
2413,29
2415,29
2416,29
2418,29
4434,29
2419,29
2420,29
2421,29
2422,29
2424,29
2425,29
2426,29
2427,29
2428,29
2429,29
2430,29
2581,29
2582,29
2583,29
2759,29
2733,29
2734,29
2735,29
2736,29
2737,29
2738,29
2739,29
2740,29
2741,29
2742,29
2743,29
2744,29
2745,29
2746,29
2747,29
2748,29
2749,29
2750,29
2751,29
2752,29
2753,29
2754,29
2755,29
2756,29
2757,29
2732,29
2731,29
2730,29
4405,29
2704,29
2705,29
2706,29
2707,29
2708,29
2709,29
2710,29
2711,29
2712,29
4408,29
4407,29
4404,29
2729,29
4403,29
4402,29
4401,29
4400,29
4399,29
4398,29
2724,29
2725,29
2726,29
2727,29
2728,29
2758,29
2760,29
2702,29
2761,29
2790,29
2791,29
2792,29
2793,29
2794,29
2795,29
2796,29
2797,29
2798,29
2799,29
2800,29
2801,29
2802,29
2803,29
2804,29
2805,29
2806,29
2807,29
2808,29
2809,29
2810,29
2811,29
2812,29
2813,29
2814,29
2789,29
2788,29
2787,29
2773,29
2762,29
2763,29
2764,29
2765,29
2766,29
2767,29
2768,29
2769,29
2770,29
2771,29
2772,29
2774,29
2786,29
2775,29
2776,29
2777,29
2778,29
2779,29
2780,29
2781,29
2782,29
2783,29
2784,29
2785,29
2703,29
2701,29
2584,29
2642,29
2615,29
2616,29
2617,29
2618,29
2619,29
2621,29
2622,29
2623,29
2624,29
2625,29
2626,29
2627,29
2628,29
2629,29
2630,29
2631,29
2632,29
2633,29
2634,29
2635,29
2636,29
2637,29
2638,29
2639,29
2640,29
2614,29
2613,29
2612,29
2598,29
2585,29
2586,29
2587,29
2588,29
2589,29
2590,29
4411,29
2592,29
2594,29
2596,29
2597,29
2599,29
2611,29
2600,29
2601,29
2602,29
2603,29
2604,29
2605,29
2606,29
2607,29
2608,29
4410,29
2610,29
2641,29
2643,29
2700,29
2644,29
2674,29
2675,29
2676,29
2677,29
2678,29
2679,29
2680,29
2681,29
2682,29
2683,29
2684,29
2685,29
2686,29
2687,29
2689,29
2690,29
2691,29
2692,29
2693,29
2694,29
2695,29
2696,29
2697,29
2698,29
2699,29
2673,29
2672,29
2671,29
2656,29
2645,29
2646,29
2647,29
2648,29
2649,29
2650,29
2651,29
2652,29
2653,29
2654,29
2655,29
2657,29
2670,29
2658,29
2659,29
2660,29
2661,29
2663,29
4409,29
2665,29
2666,29
2667,29
2668,29
2669,29
2339,29
2337,29
4600,29
1983,29
1986,29
4554,29
1988,29
1989,29
1990,29
1991,29
1992,29
1993,29
1994,29
1995,29
1996,29
1997,29
1998,29
1999,29
2000,29
2001,29
2002,29
2003,29
2004,29
2005,29
2006,29
2007,29
2008,29
2009,29
2010,29
1985,29
1982,29
2336,29
1981,29
1954,29
4559,29
1957,29
1958,29
4558,29
4557,29
4556,29
1962,29
1963,29
1964,29
4555,29
1966,29
1967,29
1968,29
1969,29
1970,29
1971,29
1972,29
1973,29
1974,29
1975,29
1976,29
1977,29
1978,29
1980,29
2011,29
2012,29
2013,29
2014,29
2043,29
2044,29
2045,29
2046,29
4553,29
4552,29
2049,29
2050,29
2051,29
2052,29
2053,29
4551,29
4550,29
4549,29
4548,29
4547,29
4546,29
4545,29
4544,29
4543,29
4542,29
4541,29
4540,29
4539,29
4538,29
2042,29
2041,29
2040,29
2026,29
2015,29
2016,29
2017,29
2018,29
2019,29
2020,29
2021,29
2022,29
2023,29
2024,29
2025,29
2027,29
2039,29
2028,29
2029,29
2030,29
2031,29
2032,29
2033,29
2034,29
2035,29
2036,29
2037,29
2038,29
1953,29
1951,29
1950,29
1891,29
1858,29
4590,29
4588,29
4587,29
4584,29
4581,29
1865,29
1867,29
1868,29
1869,29
4577,29
4576,29
1875,29
1877,29
1878,29
1879,29
1880,29
1882,29
1883,29
1884,29
1885,29
1886,29
1887,29
1888,29
1889,29
1857,29
1856,29
1855,29
1839,29
1828,29
1829,29
1830,29
1831,29
1832,29
1833,29
1834,29
1835,29
1836,29
1837,29
1838,29
1840,29
1853,29
1841,29
1842,29
1843,29
1844,29
1845,29
1846,29
4598,29
4596,29
4593,29
4592,29
4591,29
4218,29
1892,29
1949,29
1893,29
4569,29
4568,29
4567,29
4566,29
4565,29
4564,29
4563,29
4562,29
1931,29
1932,29
1933,29
1934,29
1935,29
1936,29
1937,29
1938,29
1939,29
1940,29
1941,29
4561,29
1943,29
4560,29
1945,29
1946,29
1947,29
4570,29
4571,29
4572,29
1905,29
1894,29
1895,29
1896,29
1897,29
1898,29
1899,29
1900,29
1901,29
1902,29
1903,29
1904,29
1906,29
4573,29
1907,29
1908,29
4575,29
1910,29
1911,29
1912,29
1913,29
1914,29
1915,29
1916,29
4574,29
4537,29
4536,29
4535,29
2276,29
4516,29
4515,29
4514,29
4513,29
4512,29
4511,29
4510,29
4509,29
4508,29
4507,29
4505,29
4499,29
4498,29
4497,29
4496,29
4495,29
4494,29
4493,29
4492,29
4491,29
4489,29
4484,29
2267,29
2270,29
2271,29
4517,29
4518,29
2237,29
2220,29
2208,29
2209,29
2210,29
2211,29
2212,29
2213,29
2214,29
2215,29
2217,29
2218,29
2219,29
2221,29
2236,29
2222,29
2225,29
2226,29
4519,29
2228,29
2229,29
2230,29
2231,29
2232,29
2233,29
2235,29
2273,29
2277,29
2206,29
2278,29
2311,29
2312,29
2313,29
2314,29
2315,29
2316,29
2317,29
2318,29
2319,29
2320,29
2321,29
2322,29
2323,29
2324,29
2325,29
2326,29
2327,29
2328,29
2329,29
2330,29
2331,29
2332,29
2333,29
2334,29
2335,29
2310,29
2309,29
2308,29
4443,29
2279,29
2280,29
2281,29
2282,29
2283,29
4449,29
4448,29
4447,29
4446,29
4445,29
4444,29
4442,29
2307,29
4441,29
2296,29
2297,29
2299,29
2300,29
2301,29
2302,29
2303,29
2304,29
2305,29
2306,29
2207,29
2205,29
4534,29
2140,29
2104,29
4529,29
2110,29
2112,29
2113,29
2115,29
2116,29
2117,29
2118,29
2119,29
2120,29
2121,29
2122,29
2123,29
2124,29
2125,29
2126,29
2127,29
2128,29
2129,29
2130,29
2131,29
2132,29
2133,29
4526,29
2102,29
4531,29
4532,29
2083,29
4533,29
2073,29
2074,29
2075,29
2076,29
2077,29
2078,29
2079,29
2080,29
2081,29
2082,29
2084,29
2099,29
2085,29
2086,29
2087,29
2088,29
2089,29
2090,29
2091,29
2094,29
2096,29
2097,29
2098,29
4524,29
2141,29
2204,29
2142,29
2178,29
2179,29
2180,29
2181,29
2182,29
2183,29
2184,29
2185,29
2186,29
2187,29
2188,29
2189,29
2190,29
2191,29
2192,29
2193,29
2194,29
2195,29
2196,29
2197,29
2198,29
2200,29
2201,29
2202,29
2203,29
2177,29
2176,29
2175,29
2155,29
2143,29
2144,29
2145,29
4523,29
2147,29
2148,29
2149,29
2150,29
2151,29
2153,29
2154,29
2158,29
2174,29
2160,29
4522,29
2164,29
4521,29
4520,29
2168,29
2169,29
2170,29
2171,29
2172,29
2173,29
2815,29
2816,29
2817,29
3455,29
3457,29
3458,29
3459,29
3460,29
3461,29
3462,29
3463,29
3464,29
3465,29
3466,29
3467,29
3468,29
3469,29
3470,29
3471,29
3472,29
3473,29
3474,29
3475,29
3476,29
3477,29
3478,29
3479,29
3480,29
3481,29
4297,29
4298,29
2818,29
4299,29
3428,29
3429,29
3430,29
3431,29
3432,29
3433,29
3434,29
3435,29
3436,29
3437,29
3438,29
3439,29
3440,29
3441,29
3442,29
3443,29
3444,29
3445,29
3446,29
3447,29
3448,29
3449,29
4302,29
4301,29
4300,29
3482,29
3483,29
3484,29
3485,29
3517,29
3518,29
3519,29
3520,29
3521,29
3522,29
3523,29
3525,29
3526,29
3527,29
3528,29
3529,29
3530,29
3531,29
3532,29
3533,29
3534,29
3535,29
3536,29
3537,29
3538,29
3539,29
3540,29
3541,29
3542,29
3515,29
3514,29
4287,29
3497,29
3486,29
3487,29
3488,29
3489,29
3490,29
3491,29
3492,29
3493,29
3494,29
3495,29
3496,29
3498,29
4288,29
3499,29
3500,29
3501,29
4296,29
4295,29
4294,29
4293,29
4292,29
4291,29
4290,29
4289,29
3427,29
3426,29
3425,29
3368,29
3340,29
3342,29
3343,29
3344,29
3345,29
3346,29
3347,29
3348,29
3349,29
3350,29
3351,29
3352,29
3354,29
3355,29
3356,29
3357,29
3358,29
3359,29
3360,29
3361,29
3362,29
3363,29
3364,29
3365,29
3366,29
3339,29
3338,29
3337,29
4315,29
4327,29
4326,29
4325,29
4324,29
4323,29
4322,29
4321,29
4320,29
4319,29
4317,29
4316,29
4314,29
3336,29
4313,29
4312,29
4311,29
4310,29
4309,29
4308,29
4307,29
4306,29
4305,29
4304,29
4303,29
3367,29
3369,29
3424,29
3370,29
3399,29
3400,29
3401,29
3402,29
3403,29
3404,29
3405,29
3406,29
3407,29
3408,29
3409,29
3410,29
3411,29
3412,29
3413,29
3414,29
3415,29
3416,29
3417,29
3418,29
3419,29
3420,29
3421,29
3422,29
3423,29
3398,29
3397,29
3396,29
3382,29
3371,29
3372,29
3373,29
3374,29
3375,29
3376,29
3377,29
3378,29
3379,29
3380,29
3381,29
3383,29
3395,29
3384,29
3385,29
3386,29
3387,29
3388,29
3389,29
3390,29
3391,29
3392,29
3393,29
3394,29
3543,29
3544,29
3545,29
3723,29
3697,29
3698,29
3699,29
3700,29
3701,29
3702,29
3703,29
3704,29
3705,29
3706,29
3707,29
3708,29
3709,29
3710,29
3711,29
3712,29
3713,29
3714,29
3715,29
3716,29
3717,29
3718,29
3719,29
3720,29
3721,29
3696,29
3695,29
3694,29
3680,29
3669,29
3670,29
3671,29
3672,29
3673,29
3674,29
3675,29
3676,29
3677,29
3678,29
3679,29
3681,29
3693,29
3682,29
3683,29
3684,29
3685,29
3686,29
3687,29
3688,29
3689,29
3690,29
4271,29
4270,29
3722,29
3724,29
3667,29
3725,29
4244,29
4243,29
4242,29
4241,29
4240,29
4239,29
4238,29
4237,29
4236,29
4235,29
4234,29
4233,29
4232,29
4231,29
4230,29
4229,29
4228,29
4227,29
4226,29
4225,29
4224,29
4223,29
4222,29
4221,29
4220,29
4245,29
4246,29
4247,29
4261,29
3726,29
3727,29
3728,29
4269,29
4268,29
4267,29
4266,29
4265,29
4264,29
4263,29
4262,29
4260,29
4248,29
4259,29
4258,29
4257,29
4256,29
4255,29
4254,29
4253,29
4252,29
4251,29
4250,29
4249,29
3668,29
3666,29
3546,29
3609,29
4283,29
3583,29
3584,29
3585,29
3586,29
4282,29
4281,29
4280,29
4279,29
4278,29
3592,29
3593,29
3594,29
3595,29
3596,29
3598,29
3599,29
3600,29
3601,29
3602,29
3603,29
3604,29
3605,29
3606,29
3607,29
4284,29
3579,29
3578,29
3558,29
3547,29
3548,29
3549,29
3550,29
3551,29
3552,29
3553,29
3554,29
3555,29
3556,29
3557,29
3559,29
3577,29
3560,29
3561,29
3564,29
3565,29
3566,29
3567,29
3569,29
4286,29
4285,29
3575,29
3576,29
3608,29
4277,29
3665,29
3611,29
3640,29
3641,29
3642,29
3643,29
3644,29
3645,29
3646,29
3647,29
3648,29
3649,29
3650,29
3651,29
3652,29
3653,29
3654,29
3655,29
3656,29
3657,29
3658,29
3659,29
3660,29
3661,29
3662,29
3663,29
3664,29
3639,29
3638,29
3637,29
4276,29
3612,29
3613,29
3614,29
3615,29
3616,29
3617,29
3618,29
3619,29
3620,29
3621,29
3622,29
4275,29
3636,29
4274,29
4273,29
4272,29
3628,29
3629,29
3630,29
3631,29
3632,29
3633,29
3634,29
3635,29
4328,29
4329,29
4330,29
4374,29
2962,29
2963,29
2964,29
2965,29
2966,29
2967,29
2968,29
2969,29
2970,29
2971,29
2972,29
2973,29
2974,29
2975,29
2976,29
2977,29
2978,29
2979,29
2981,29
2982,29
2983,29
2984,29
2985,29
2986,29
2988,29
2961,29
2960,29
2959,29
2944,29
2933,29
2934,29
2935,29
2936,29
2937,29
4378,29
4377,29
4376,29
2941,29
2942,29
2943,29
2945,29
2958,29
2946,29
4375,29
2948,29
2949,29
2950,29
2951,29
2952,29
2953,29
2954,29
2955,29
2957,29
2989,29
2991,29
2931,29
2992,29
3022,29
3023,29
3024,29
3025,29
3026,29
3027,29
3028,29
3029,29
3030,29
3031,29
3032,29
3033,29
3034,29
3035,29
3036,29
3037,29
3038,29
3039,29
3040,29
3041,29
3042,29
3043,29
3044,29
3045,29
3046,29
3021,29
3020,29
3019,29
4368,29
2993,29
2994,29
2995,29
2996,29
2997,29
2998,29
4373,29
4372,29
4371,29
4370,29
4369,29
4367,29
3018,29
4366,29
4365,29
3009,29
3010,29
3011,29
3012,29
3013,29
3014,29
3015,29
3016,29
3017,29
2932,29
2930,29
3048,29
2873,29
2847,29
2848,29
2849,29
2850,29
2851,29
2852,29
2853,29
2854,29
2855,29
2856,29
2857,29
2858,29
2859,29
2860,29
2861,29
2862,29
2863,29
2864,29
2865,29
2866,29
2867,29
2868,29
2869,29
2870,29
2871,29
2846,29
2845,29
2844,29
2830,29
2819,29
2820,29
2821,29
2822,29
2823,29
2824,29
2825,29
2826,29
2827,29
2828,29
2829,29
2831,29
2843,29
2832,29
2833,29
2834,29
2835,29
4397,29
4396,29
4395,29
4394,29
4393,29
4392,29
4391,29
2872,29
2874,29
4379,29
2875,29
2904,29
2905,29
2906,29
2907,29
2908,29
2909,29
2910,29
2911,29
2912,29
2913,29
2914,29
2915,29
2916,29
2917,29
2918,29
2919,29
2920,29
2921,29
2922,29
2923,29
2924,29
2925,29
4382,29
4381,29
4380,29
2903,29
2902,29
2901,29
2887,29
2876,29
2877,29
2878,29
2879,29
2880,29
2881,29
2882,29
2883,29
2884,29
2885,29
2886,29
2888,29
4383,29
2889,29
2890,29
2891,29
2892,29
4390,29
4389,29
4388,29
4387,29
4386,29
4385,29
4384,29
3047,29
3049,29
4331,29
3245,29
4355,29
3214,29
3215,29
3216,29
3217,29
3218,29
4354,29
3220,29
3221,29
4353,29
3227,29
3228,29
3229,29
3230,29
3231,29
3232,29
3234,29
3236,29
3237,29
3238,29
3239,29
3240,29
3241,29
3242,29
3243,29
3210,29
3209,29
3208,29
4357,29
3175,29
3177,29
3178,29
3179,29
3182,29
3184,29
3185,29
3187,29
3188,29
4358,29
3191,29
3194,29
3207,29
3196,29
3197,29
3198,29
3199,29
3200,29
3201,29
3202,29
4356,29
3204,29
3205,29
3206,29
3244,29
3246,29
3172,29
3247,29
3277,29
3278,29
3279,29
3280,29
3281,29
3283,29
4350,29
4349,29
4348,29
4347,29
4346,29
4345,29
4344,29
4343,29
4342,29
4341,29
4340,29
4339,29
4338,29
4337,29
4336,29
4335,29
4334,29
4333,29
4332,29
3276,29
3275,29
3274,29
3259,29
3248,29
3249,29
3250,29
3251,29
3252,29
3253,29
3254,29
3255,29
3256,29
3257,29
3258,29
3260,29
3273,29
3261,29
3262,29
3263,29
3264,29
3265,29
3266,29
3268,29
3269,29
3270,29
4352,29
4351,29
4359,29
3170,29
3050,29
3107,29
3079,29
3080,29
3081,29
3082,29
3083,29
3084,29
3085,29
3086,29
3087,29
3089,29
3090,29
3091,29
3092,29
4363,29
3094,29
3095,29
3096,29
3097,29
3099,29
3100,29
3101,29
3102,29
3103,29
3104,29
3105,29
3078,29
3077,29
3076,29
3062,29
3051,29
3052,29
3053,29
3054,29
3055,29
3056,29
3057,29
3058,29
3059,29
3060,29
3061,29
3063,29
3075,29
3064,29
4364,29
3066,29
3067,29
3068,29
3069,29
3070,29
3071,29
3072,29
3073,29
3074,29
3106,29
3108,29
3168,29
3109,29
3140,29
3141,29
3142,29
3144,29
4362,29
3146,29
3147,29
3148,29
3149,29
3150,29
3151,29
3152,29
4361,29
3154,29
4360,29
3156,29
3157,29
3158,29
3159,29
3162,29
3163,29
3164,29
3165,29
3166,29
3167,29
3139,29
3138,29
3137,29
3121,29
3110,29
3111,29
3112,29
3113,29
3114,29
3115,29
3116,29
3117,29
3118,29
3119,29
3120,29
3122,29
3136,29
3123,29
3124,29
3127,29
3128,29
3129,29
3130,29
3131,29
3132,29
3133,29
3134,29
3135,29
4599,29
1890,29
4601,29
4810,29
4821,29
656,29
657,29
658,29
662,29
4820,29
666,29
667,29
668,29
669,29
4812,29
4809,29
652,29
4808,29
4807,29
4806,29
4805,29
679,29
680,29
681,29
682,29
4804,29
684,29
4803,29
653,29
651,29
689,29
634,29
623,29
624,29
625,29
626,29
627,29
628,29
629,29
630,29
631,29
632,29
633,29
635,29
650,29
636,29
637,29
638,29
639,29
640,29
641,29
643,29
645,29
647,29
648,29
649,29
688,29
690,29
4796,29
737,29
722,29
723,29
724,29
726,29
727,29
728,29
729,29
730,29
731,29
735,29
736,29
738,29
4800,29
740,29
742,29
743,29
744,29
745,29
747,29
748,29
749,29
750,29
4799,29
4798,29
721,29
719,29
691,29
704,29
692,29
693,29
694,29
695,29
696,29
697,29
698,29
700,29
701,29
702,29
703,29
705,29
718,29
706,29
707,29
708,29
4802,29
4801,29
711,29
713,29
714,29
715,29
716,29
717,29
622,29
621,29
620,29
551,29
537,29
538,29
540,29
542,29
543,29
544,29
545,29
546,29
547,29
549,29
550,29
552,29
535,29
553,29
554,29
555,29
556,29
557,29
558,29
559,29
560,29
561,29
562,29
563,29
536,29
534,29
619,29
520,29
509,29
510,29
511,29
512,29
4825,29
514,29
515,29
516,29
517,29
518,29
519,29
521,29
533,29
522,29
523,29
524,29
525,29
526,29
527,29
528,29
529,29
530,29
531,29
532,29
564,29
565,29
566,29
606,29
595,29
596,29
597,29
598,29
599,29
600,29
601,29
602,29
603,29
604,29
605,29
607,29
567,29
608,29
609,29
610,29
611,29
612,29
613,29
614,29
615,29
4824,29
4823,29
4822,29
594,29
593,29
592,29
591,29
568,29
569,29
570,29
571,29
572,29
573,29
574,29
575,29
576,29
577,29
578,29
579,29
580,29
581,29
582,29
583,29
584,29
585,29
586,29
587,29
588,29
589,29
590,29
4797,29
4795,29
4732,29
933,29
921,29
923,29
924,29
925,29
4602,29
927,29
928,29
929,29
930,29
931,29
932,29
934,29
919,29
935,29
936,29
4740,29
939,29
940,29
941,29
942,29
944,29
945,29
946,29
947,29
920,29
918,29
949,29
904,29
892,29
893,29
894,29
896,29
897,29
898,29
899,29
900,29
901,29
4742,29
903,29
905,29
917,29
906,29
907,29
908,29
909,29
910,29
911,29
4741,29
913,29
914,29
915,29
916,29
948,29
950,29
4794,29
995,29
982,29
983,29
984,29
985,29
986,29
987,29
988,29
991,29
992,29
993,29
994,29
996,29
980,29
4738,29
998,29
999,29
1000,29
1001,29
1002,29
1003,29
4737,29
4736,29
4735,29
4734,29
981,29
979,29
951,29
963,29
952,29
953,29
954,29
955,29
956,29
957,29
958,29
4739,29
960,29
961,29
962,29
965,29
978,29
966,29
968,29
969,29
970,29
971,29
972,29
973,29
974,29
975,29
976,29
977,29
891,29
890,29
889,29
4771,29
4777,29
4776,29
4775,29
4774,29
799,29
801,29
802,29
4773,29
805,29
806,29
4772,29
811,29
4779,29
813,29
4770,29
815,29
816,29
4769,29
819,29
820,29
822,29
823,29
824,29
825,29
4778,29
4780,29
888,29
4785,29
4793,29
4792,29
4790,29
4789,29
4788,29
4787,29
4786,29
765,29
766,29
768,29
769,29
772,29
791,29
4784,29
774,29
4783,29
776,29
4782,29
780,29
782,29
4781,29
784,29
788,29
790,29
826,29
827,29
828,29
874,29
863,29
864,29
865,29
866,29
867,29
4743,29
869,29
870,29
871,29
872,29
873,29
875,29
829,29
876,29
877,29
878,29
879,29
880,29
881,29
882,29
883,29
884,29
886,29
887,29
862,29
861,29
860,29
4744,29
4768,29
831,29
832,29
4767,29
4766,29
4765,29
4748,29
4747,29
4746,29
4745,29
846,29
847,29
848,29
849,29
850,29
851,29
852,29
853,29
854,29
855,29
856,29
857,29
858,29
4826,29
507,29
4827,29
187,29
4917,29
175,29
177,29
178,29
180,29
181,29
182,29
4916,29
4915,29
185,29
186,29
189,29
172,29
190,29
191,29
192,29
193,29
4914,29
4913,29
4912,29
4911,29
4910,29
4909,29
201,29
173,29
171,29
4908,29
154,29
143,29
144,29
145,29
146,29
147,29
148,29
149,29
150,29
151,29
152,29
153,29
155,29
4918,29
156,29
157,29
158,29
159,29
160,29
161,29
4919,29
164,29
165,29
166,29
167,29
202,29
4907,29
4828,29
4898,29
237,29
238,29
239,29
240,29
241,29
4904,29
4903,29
4902,29
4901,29
4900,29
4899,29
4897,29
235,29
4896,29
4895,29
4894,29
4893,29
4892,29
255,29
256,29
257,29
259,29
260,29
261,29
236,29
234,29
4906,29
219,29
207,29
208,29
209,29
211,29
4905,29
213,29
214,29
215,29
216,29
217,29
218,29
220,29
233,29
221,29
222,29
223,29
225,29
226,29
227,29
228,29
229,29
230,29
231,29
232,29
4920,29
4921,29
4922,29
4960,29
4971,29
4970,29
4969,29
4968,29
4967,29
4966,29
4965,29
4964,29
4963,29
4962,29
4961,29
4959,29
4973,29
4958,29
4957,29
4956,29
4955,29
57,29
4954,29
4953,29
61,29
63,29
4952,29
4951,29
4972,29
4974,29
4923,29
4986,29
4996,29
3,29
4995,29
4994,29
4993,29
4992,29
4991,29
4990,29
12,29
14,29
20,29
4985,29
4975,29
4984,29
4983,29
4982,29
27,29
4981,29
4980,29
4979,29
4978,29
32,29
4977,29
4976,29
68,29
4950,29
4949,29
123,29
4948,29
110,29
111,29
112,29
113,29
114,29
115,29
116,29
117,29
119,29
121,29
124,29
75,29
4947,29
4946,29
4945,29
4944,29
4943,29
4942,29
4941,29
4940,29
4926,29
4925,29
4924,29
107,29
106,29
105,29
104,29
76,29
80,29
81,29
82,29
83,29
86,29
87,29
88,29
89,29
90,29
91,29
92,29
