,mode,N,sig2e,sig2b0,sig2b1,q0,spatial_embed_out_dim,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,n_epochs,time
1,spatial_embedded,100000,1,0.1,0.1,100,1000,0,ohe,1.180788269,,,,25,47.52869916
2,spatial_embedded,100000,1,0.1,0.1,100,1000,0,lmm,1.24489284,1.234420776,0.675764561,,36,215.485786
3,spatial_embedded,100000,1,0.1,0.1,100,1000,0,ignore,1.236865958,,,,49,83.3056922
4,spatial_embedded,100000,1,0.1,0.1,100,1000,0,embed,1.238431971,,,,19,53.90204382
5,spatial_embedded,100000,1,0.1,1,100,1000,0,ohe,1.149416982,,,,41,72.65555525
6,spatial_embedded,100000,1,0.1,1,100,1000,0,lmm,1.156253605,1.192440033,0.732814431,,50,295.2009785
7,spatial_embedded,100000,1,0.1,1,100,1000,0,ignore,1.250723413,,,,28,47.07729673
8,spatial_embedded,100000,1,0.1,1,100,1000,0,embed,1.186756541,,,,28,74.42950869
9,spatial_embedded,100000,1,0.1,10,100,1000,0,ohe,1.197351926,,,,24,45.13022685
10,spatial_embedded,100000,1,0.1,10,100,1000,0,lmm,1.110502355,1.138593554,0.354753435,,30,180.9649661
11,spatial_embedded,100000,1,0.1,10,100,1000,0,ignore,1.199994725,,,,50,85.94373226
12,spatial_embedded,100000,1,0.1,10,100,1000,0,embed,1.239272522,,,,34,95.29022932
13,spatial_embedded,100000,1,1,0.1,100,1000,0,ohe,1.264532798,,,,24,42.29049397
14,spatial_embedded,100000,1,1,0.1,100,1000,0,lmm,1.16634019,1.134515643,0.148195863,,42,248.8326099
15,spatial_embedded,100000,1,1,0.1,100,1000,0,ignore,1.568340438,,,,72,121.3573568
16,spatial_embedded,100000,1,1,0.1,100,1000,0,embed,1.305081926,,,,22,58.62510514
17,spatial_embedded,100000,1,1,1,100,1000,0,ohe,1.262189387,,,,18,34.97332788
18,spatial_embedded,100000,1,1,1,100,1000,0,lmm,1.104201477,1.107070208,0.065865897,,43,252.7338297
19,spatial_embedded,100000,1,1,1,100,1000,0,ignore,1.554096234,,,,37,63.7068212
20,spatial_embedded,100000,1,1,1,100,1000,0,embed,1.21292877,,,,60,153.9730959
21,spatial_embedded,100000,1,1,10,100,1000,0,ohe,1.276455487,,,,21,39.38120341
22,spatial_embedded,100000,1,1,10,100,1000,0,lmm,1.079618767,1.089728355,0.035067946,,56,334.4070351
23,spatial_embedded,100000,1,1,10,100,1000,0,ignore,1.271617564,,,,43,73.62003326
24,spatial_embedded,100000,1,1,10,100,1000,0,embed,1.306435294,,,,27,71.05688071
25,spatial_embedded,100000,1,0.1,0.1,1000,1000,0,ohe,1.270098138,,,,18,39.41601491
26,spatial_embedded,100000,1,0.1,0.1,1000,1000,0,lmm,1.292249909,1.263428211,0.703839064,,24,148.5200703
27,spatial_embedded,100000,1,0.1,0.1,1000,1000,0,ignore,1.283358344,,,,50,89.38199782
28,spatial_embedded,100000,1,0.1,0.1,1000,1000,0,embed,1.321554505,,,,19,56.16987586
29,spatial_embedded,100000,1,0.1,1,1000,1000,0,ohe,1.270665093,,,,16,35.22518706
30,spatial_embedded,100000,1,0.1,1,1000,1000,0,lmm,1.20249208,1.197261333,0.599047959,,47,285.656522
31,spatial_embedded,100000,1,0.1,1,1000,1000,0,ignore,1.292660453,,,,16,30.27048707
32,spatial_embedded,100000,1,0.1,1,1000,1000,0,embed,1.216310208,,,,17,49.28710914
33,spatial_embedded,100000,1,0.1,10,1000,1000,0,ohe,1.289888944,,,,15,33.67701936
34,spatial_embedded,100000,1,0.1,10,1000,1000,0,lmm,1.124317422,1.138177276,0.117522039,,37,226.4618917
35,spatial_embedded,100000,1,0.1,10,1000,1000,0,ignore,1.18317613,,,,25,45.88203955
36,spatial_embedded,100000,1,0.1,10,1000,1000,0,embed,1.247046403,,,,46,123.3208308
37,spatial_embedded,100000,1,1,0.1,1000,1000,0,ohe,1.358618011,,,,21,44.78594661
38,spatial_embedded,100000,1,1,0.1,1000,1000,0,lmm,1.367734649,1.255859137,0.215376511,,65,376.1617684
39,spatial_embedded,100000,1,1,0.1,1000,1000,0,ignore,2.10943942,,,,49,84.49850154
40,spatial_embedded,100000,1,1,0.1,1000,1000,0,embed,1.324956719,,,,19,49.67812228
41,spatial_embedded,100000,1,1,1,1000,1000,0,ohe,1.40165709,,,,28,55.77191186
42,spatial_embedded,100000,1,1,1,1000,1000,0,lmm,1.178631463,1.012620687,0.005051841,,53,312.6047003
43,spatial_embedded,100000,1,1,1,1000,1000,0,ignore,1.658553804,,,,31,54.14713597
44,spatial_embedded,100000,1,1,1,1000,1000,0,embed,1.341249068,,,,27,75.96491504
45,spatial_embedded,100000,1,1,10,1000,1000,0,ohe,1.374293765,,,,21,43.27908969
46,spatial_embedded,100000,1,1,10,1000,1000,0,lmm,1.148195508,1.119574785,0.018796343,,45,268.9896595
47,spatial_embedded,100000,1,1,10,1000,1000,0,ignore,1.355913013,,,,35,63.1559217
48,spatial_embedded,100000,1,1,10,1000,1000,0,embed,1.319440725,,,,26,72.65383434
49,spatial_embedded,100000,1,0.1,0.1,10000,1000,0,ohe,1.521572719,,,,13,99.05542445
50,spatial_embedded,100000,1,0.1,0.1,10000,1000,0,lmm,1.220993208,1.247082829,0.78428334,,27,164.1440539
51,spatial_embedded,100000,1,0.1,0.1,10000,1000,0,ignore,1.241285583,,,,45,80.68676376
52,spatial_embedded,100000,1,0.1,0.1,10000,1000,0,embed,1.587596848,,,,17,50.85166407
53,spatial_embedded,100000,1,0.1,1,10000,1000,0,ohe,1.544661215,,,,13,101.0091898
54,spatial_embedded,100000,1,0.1,1,10000,1000,0,lmm,1.181441369,1.16536212,0.303448379,,41,245.1254029
55,spatial_embedded,100000,1,0.1,1,10000,1000,0,ignore,1.260283702,,,,36,64.18114781
56,spatial_embedded,100000,1,0.1,1,10000,1000,0,embed,1.626374533,,,,15,44.26902795
57,spatial_embedded,100000,1,0.1,10,10000,1000,0,ohe,1.577974962,,,,13,96.31593657
58,spatial_embedded,100000,1,0.1,10,10000,1000,0,lmm,1.134565514,1.148018003,0.113635942,,37,216.6596665
59,spatial_embedded,100000,1,0.1,10,10000,1000,0,ignore,1.21837006,,,,18,31.63635325
60,spatial_embedded,100000,1,0.1,10,10000,1000,0,embed,1.611025706,,,,16,45.49506545
61,spatial_embedded,100000,1,1,0.1,10000,1000,0,ohe,1.727800069,,,,16,109.9587133
62,spatial_embedded,100000,1,1,0.1,10000,1000,0,lmm,1.542017609,1.346156478,1.13166368,,63,363.4806507
63,spatial_embedded,100000,1,1,0.1,10000,1000,0,ignore,2.23589045,,,,22,39.02097344
64,spatial_embedded,100000,1,1,0.1,10000,1000,0,embed,1.646244339,,,,16,44.81992245
65,spatial_embedded,100000,1,1,1,10000,1000,0,ohe,1.645884879,,,,13,95.00146008
66,spatial_embedded,100000,1,1,1,10000,1000,0,lmm,1.177437712,1.017935753,0.027522765,,40,231.8627813
67,spatial_embedded,100000,1,1,1,10000,1000,0,ignore,1.771761935,,,,62,103.1091223
68,spatial_embedded,100000,1,1,1,10000,1000,0,embed,1.685710076,,,,17,48.39896035
69,spatial_embedded,100000,1,1,10,10000,1000,0,ohe,1.659918683,,,,14,98.87704325
70,spatial_embedded,100000,1,1,10,10000,1000,0,lmm,1.091894799,1.13666141,0.046002429,,30,177.6288743
71,spatial_embedded,100000,1,1,10,10000,1000,0,ignore,1.336937001,,,,48,80.88851762
72,spatial_embedded,100000,1,1,10,10000,1000,0,embed,1.70826042,,,,17,47.29057336
,spatial_embedded,100000,1,0.1,0.1,100,1000,0,ohe,1.242612788,,,,20,38.97751045
,spatial_embedded,100000,1,0.1,0.1,100,1000,0,lmm,1.218838414,1.210906863,0.598728418,,49,283.9160914
,spatial_embedded,100000,1,0.1,0.1,100,1000,0,ignore,1.257925975,,,,28,47.69234204
,spatial_embedded,100000,1,0.1,0.1,100,1000,0,embed,1.186766709,,,,70,184.4553583
,spatial_embedded,100000,1,0.1,0.1,100,1000,1,ohe,1.223305523,,,,26,45.15808702
,spatial_embedded,100000,1,0.1,0.1,100,1000,1,lmm,1.186822122,1.215247869,0.281012267,,61,346.959511
,spatial_embedded,100000,1,0.1,0.1,100,1000,1,ignore,1.266303242,,,,32,54.02785254
,spatial_embedded,100000,1,0.1,0.1,100,1000,1,embed,1.243258475,,,,18,46.79060435
,spatial_embedded,100000,1,0.1,1,100,1000,0,ohe,1.244563792,,,,17,30.55486774
,spatial_embedded,100000,1,0.1,1,100,1000,0,lmm,1.197488085,1.20754838,0.622036278,,63,357.7385681
,spatial_embedded,100000,1,0.1,1,100,1000,0,ignore,1.23845773,,,,25,42.39376974
,spatial_embedded,100000,1,0.1,1,100,1000,0,embed,1.239757913,,,,23,61.57363033
,spatial_embedded,100000,1,0.1,1,100,1000,1,ohe,1.218069564,,,,24,41.88310862
,spatial_embedded,100000,1,0.1,1,100,1000,1,lmm,1.17308417,1.190036654,0.18337293,,53,303.2599137
,spatial_embedded,100000,1,0.1,1,100,1000,1,ignore,1.240496591,,,,38,63.76966166
,spatial_embedded,100000,1,0.1,1,100,1000,1,embed,1.142625427,,,,68,177.7474833
,spatial_embedded,100000,1,0.1,10,100,1000,0,ohe,1.234129316,,,,23,39.93907046
,spatial_embedded,100000,1,0.1,10,100,1000,0,lmm,1.134257277,1.132073641,0.124031588,,44,252.8396239
,spatial_embedded,100000,1,0.1,10,100,1000,0,ignore,1.236011579,,,,25,42.88174391
,spatial_embedded,100000,1,0.1,10,100,1000,0,embed,1.183549245,,,,21,55.4630537
,spatial_embedded,100000,1,0.1,10,100,1000,1,ohe,1.186614234,,,,54,93.36027479
,spatial_embedded,100000,1,0.1,10,100,1000,1,lmm,1.084889264,1.12991178,0.133958787,,56,318.5358148
,spatial_embedded,100000,1,0.1,10,100,1000,1,ignore,1.234253809,,,,18,31.32245851
,spatial_embedded,100000,1,0.1,10,100,1000,1,embed,1.223111291,,,,24,63.36214709
,spatial_embedded,100000,1,1,0.1,100,1000,0,ohe,1.294393031,,,,37,63.45658302
,spatial_embedded,100000,1,1,0.1,100,1000,0,lmm,1.125927042,1.127529502,0.021566316,,53,302.4363112
,spatial_embedded,100000,1,1,0.1,100,1000,0,ignore,1.486555658,,,,90,149.1836822
,spatial_embedded,100000,1,1,0.1,100,1000,0,embed,1.240746926,,,,37,96.2879498
,spatial_embedded,100000,1,1,0.1,100,1000,1,ohe,1.298894255,,,,37,62.62602758
,spatial_embedded,100000,1,1,0.1,100,1000,1,lmm,1.121478162,1.095901608,0.034148876,,72,407.1803102
,spatial_embedded,100000,1,1,0.1,100,1000,1,ignore,1.550634805,,,,71,119.4446292
,spatial_embedded,100000,1,1,0.1,100,1000,1,embed,1.270892775,,,,39,101.9113214
,spatial_embedded,100000,1,1,1,100,1000,0,ohe,1.228295546,,,,51,87.78999162
,spatial_embedded,100000,1,1,1,100,1000,0,lmm,1.10085259,1.095727563,0.054952934,,43,246.9869812
,spatial_embedded,100000,1,1,1,100,1000,0,ignore,1.369970059,,,,45,75.74691629
,spatial_embedded,100000,1,1,1,100,1000,0,embed,1.287658429,,,,18,48.34057665
,spatial_embedded,100000,1,1,1,100,1000,1,ohe,1.233428984,,,,39,70.32334733
,spatial_embedded,100000,1,1,1,100,1000,1,lmm,1.082879162,1.098503113,0.042202089,,42,243.6526332
,spatial_embedded,100000,1,1,1,100,1000,1,ignore,1.357263991,,,,41,69.28153849
,spatial_embedded,100000,1,1,1,100,1000,1,embed,1.148458218,,,,48,119.376868
,spatial_embedded,100000,1,1,10,100,1000,0,ohe,1.262769267,,,,23,41.41175723
,spatial_embedded,100000,1,1,10,100,1000,0,lmm,1.110040352,1.131567359,0.017295895,,45,257.9354427
,spatial_embedded,100000,1,1,10,100,1000,0,ignore,1.232435738,,,,26,44.18225646
,spatial_embedded,100000,1,1,10,100,1000,0,embed,1.193322011,,,,48,119.378902
,spatial_embedded,100000,1,1,10,100,1000,1,ohe,1.324162786,,,,27,47.68950033
,spatial_embedded,100000,1,1,10,100,1000,1,lmm,1.104109989,1.112784028,0.146920919,,47,268.7752454
,spatial_embedded,100000,1,1,10,100,1000,1,ignore,1.283637041,,,,24,41.49240088
,spatial_embedded,100000,1,1,10,100,1000,1,embed,1.205177383,,,,62,152.25418
,spatial_embedded,100000,1,0.1,0.1,1000,1000,0,ohe,1.310289687,,,,18,37.28913355
,spatial_embedded,100000,1,0.1,0.1,1000,1000,0,lmm,1.234743639,1.260632396,0.741033912,,30,175.0608573
,spatial_embedded,100000,1,0.1,0.1,1000,1000,0,ignore,1.268730064,,,,38,63.90831661
,spatial_embedded,100000,1,0.1,0.1,1000,1000,0,embed,1.233959615,,,,21,55.70459175
,spatial_embedded,100000,1,0.1,0.1,1000,1000,1,ohe,1.299845146,,,,18,38.33479834
,spatial_embedded,100000,1,0.1,0.1,1000,1000,1,lmm,1.269270115,1.242543578,0.769721806,,35,202.8647194
,spatial_embedded,100000,1,0.1,0.1,1000,1000,1,ignore,1.305565751,,,,37,62.32130241
,spatial_embedded,100000,1,0.1,0.1,1000,1000,1,embed,1.226872767,,,,22,59.79621983
,spatial_embedded,100000,1,0.1,1,1000,1000,0,ohe,1.304038085,,,,19,37.47285748
,spatial_embedded,100000,1,0.1,1,1000,1000,0,lmm,1.281124073,1.254532456,0.514970124,,28,164.0923164
,spatial_embedded,100000,1,0.1,1,1000,1000,0,ignore,1.266641598,,,,28,48.57004786
,spatial_embedded,100000,1,0.1,1,1000,1000,0,embed,1.3070917,,,,21,53.83260965
,spatial_embedded,100000,1,0.1,1,1000,1000,1,ohe,1.273604284,,,,27,52.74293351
,spatial_embedded,100000,1,0.1,1,1000,1000,1,lmm,1.185038669,1.230985403,0.398102015,,51,291.5824368
,spatial_embedded,100000,1,0.1,1,1000,1000,1,ignore,1.26769804,,,,25,42.68139172
,spatial_embedded,100000,1,0.1,1,1000,1000,1,embed,1.24616531,,,,25,64.09758449
,spatial_embedded,100000,1,0.1,10,1000,1000,0,ohe,1.271939677,,,,18,36.65240622
,spatial_embedded,100000,1,0.1,10,1000,1000,0,lmm,1.088060082,1.13143599,0.093045838,,52,298.4225228
,spatial_embedded,100000,1,0.1,10,1000,1000,0,ignore,1.274343876,,,,24,41.4899385
,spatial_embedded,100000,1,0.1,10,1000,1000,0,embed,1.256343564,,,,20,52.05317354
,spatial_embedded,100000,1,0.1,10,1000,1000,1,ohe,1.27913512,,,,15,30.75403094
,spatial_embedded,100000,1,0.1,10,1000,1000,1,lmm,1.116111783,1.107847214,0.111249566,,47,270.1153295
,spatial_embedded,100000,1,0.1,10,1000,1000,1,ignore,1.226500102,,,,25,43.2236073
,spatial_embedded,100000,1,0.1,10,1000,1000,1,embed,1.311981041,,,,33,83.00497794
,spatial_embedded,100000,1,1,0.1,1000,1000,0,ohe,1.395268328,,,,17,34.60466385
,spatial_embedded,100000,1,1,0.1,1000,1000,0,lmm,1.328629167,1.171035767,0.153903708,,67,379.7961833
,spatial_embedded,100000,1,1,0.1,1000,1000,0,ignore,2.203105801,,,,55,92.46170545
,spatial_embedded,100000,1,1,0.1,1000,1000,0,embed,1.324458667,,,,19,49.25860405
,spatial_embedded,100000,1,1,0.1,1000,1000,1,ohe,1.317770643,,,,22,44.63496423
,spatial_embedded,100000,1,1,0.1,1000,1000,1,lmm,1.242675912,1.01630187,0.150942937,,73,412.8451405
,spatial_embedded,100000,1,1,0.1,1000,1000,1,ignore,2.066801741,,,,48,80.25557637
,spatial_embedded,100000,1,1,0.1,1000,1000,1,embed,1.313627027,,,,25,64.4288013
,spatial_embedded,100000,1,1,1,1000,1000,0,ohe,1.359938179,,,,16,32.14343476
,spatial_embedded,100000,1,1,1,1000,1000,0,lmm,1.165562775,1.015407681,0.005466835,,48,274.1422658
,spatial_embedded,100000,1,1,1,1000,1000,0,ignore,1.734474368,,,,56,94.24929452
,spatial_embedded,100000,1,1,1,1000,1000,0,embed,1.407745845,,,,20,54.64465952
,spatial_embedded,100000,1,1,1,1000,1000,1,ohe,1.31153933,,,,18,37.09095407
,spatial_embedded,100000,1,1,1,1000,1000,1,lmm,1.13333299,0.993633866,0.016938396,,56,320.0224078
,spatial_embedded,100000,1,1,1,1000,1000,1,ignore,1.653667381,,,,71,116.5574446
,spatial_embedded,100000,1,1,1,1000,1000,1,embed,1.300971564,,,,24,65.4070189
,spatial_embedded,100000,1,1,10,1000,1000,0,ohe,1.31676386,,,,22,43.33666086
,spatial_embedded,100000,1,1,10,1000,1000,0,lmm,1.161614161,1.110158324,0.013565182,,46,263.4205921
,spatial_embedded,100000,1,1,10,1000,1000,0,ignore,1.358760959,,,,30,50.50588703
,spatial_embedded,100000,1,1,10,1000,1000,0,embed,1.309550431,,,,29,77.54190373
,spatial_embedded,100000,1,1,10,1000,1000,1,ohe,1.304826546,,,,14,28.87071061
,spatial_embedded,100000,1,1,10,1000,1000,1,lmm,1.12914737,1.136575103,0.032190844,,37,213.9151251
,spatial_embedded,100000,1,1,10,1000,1000,1,ignore,1.34853427,,,,28,46.96202254
,spatial_embedded,100000,1,1,10,1000,1000,1,embed,1.307606567,,,,18,46.60740733
,spatial_embedded,100000,1,0.1,0.1,10000,1000,0,ohe,1.521736051,,,,13,95.19374275
,spatial_embedded,100000,1,0.1,0.1,10000,1000,0,lmm,1.324900273,1.30147779,0.654229343,,16,98.0288918
,spatial_embedded,100000,1,0.1,0.1,10000,1000,0,ignore,1.285119461,,,,23,38.91054535
,spatial_embedded,100000,1,0.1,0.1,10000,1000,0,embed,1.618330646,,,,15,41.38599443
,spatial_embedded,100000,1,0.1,0.1,10000,1000,1,ohe,1.565852038,,,,13,95.32658792
,spatial_embedded,100000,1,0.1,0.1,10000,1000,1,lmm,1.211076899,1.221101284,0.770007432,,90,507.5317731
,spatial_embedded,100000,1,0.1,0.1,10000,1000,1,ignore,1.294730517,,,,33,56.19496298
,spatial_embedded,100000,1,0.1,0.1,10000,1000,1,embed,1.609714424,,,,14,39.34785891
,spatial_embedded,100000,1,0.1,1,10000,1000,0,ohe,1.557837424,,,,13,96.1245544
,spatial_embedded,100000,1,0.1,1,10000,1000,0,lmm,1.28513668,1.276346922,0.57056278,,24,141.958014
,spatial_embedded,100000,1,0.1,1,10000,1000,0,ignore,1.254376438,,,,24,40.2426126
,spatial_embedded,100000,1,0.1,1,10000,1000,0,embed,1.6117493,,,,16,44.25703621
,spatial_embedded,100000,1,0.1,1,10000,1000,1,ohe,1.518820134,,,,12,87.98401904
,spatial_embedded,100000,1,0.1,1,10000,1000,1,lmm,1.262392328,1.275857091,0.648945451,,20,119.5342727
,spatial_embedded,100000,1,0.1,1,10000,1000,1,ignore,1.249384767,,,,23,39.32749295
,spatial_embedded,100000,1,0.1,1,10000,1000,1,embed,1.596859516,,,,17,46.69765139
,spatial_embedded,100000,1,0.1,10,10000,1000,0,ohe,1.565858943,,,,12,91.08958316
,spatial_embedded,100000,1,0.1,10,10000,1000,0,lmm,1.121848734,1.119698405,0.092488743,,59,334.335876
,spatial_embedded,100000,1,0.1,10,10000,1000,0,ignore,1.260583271,,,,36,59.56509304
,spatial_embedded,100000,1,0.1,10,10000,1000,0,embed,1.707417012,,,,15,42.00902081
,spatial_embedded,100000,1,0.1,10,10000,1000,1,ohe,1.550670641,,,,12,88.27724767
,spatial_embedded,100000,1,0.1,10,10000,1000,1,lmm,1.103991247,1.12178266,0.120543726,,59,336.7031567
,spatial_embedded,100000,1,0.1,10,10000,1000,1,ignore,1.183174667,,,,49,81.95699859
,spatial_embedded,100000,1,0.1,10,10000,1000,1,embed,1.593064709,,,,15,42.13132334
,spatial_embedded,100000,1,1,0.1,10000,1000,0,ohe,1.68069915,,,,15,104.1418087
,spatial_embedded,100000,1,1,0.1,10000,1000,0,lmm,,,,,16,98.1346364
,spatial_embedded,100000,1,1,0.1,10000,1000,0,ignore,2.209156818,,,,18,30.02293205
,spatial_embedded,100000,1,1,0.1,10000,1000,0,embed,1.702480514,,,,18,52.15653944
,spatial_embedded,100000,1,1,0.1,10000,1000,1,ohe,1.692002017,,,,14,100.6323955
,spatial_embedded,100000,1,1,0.1,10000,1000,1,lmm,1.464185536,1.264549375,0.358001679,,101,570.4844408
,spatial_embedded,100000,1,1,0.1,10000,1000,1,ignore,2.285820004,,,,26,44.27370906
,spatial_embedded,100000,1,1,0.1,10000,1000,1,embed,1.765722986,,,,22,66.96360373
,spatial_embedded,100000,1,1,1,10000,1000,0,ohe,1.627585402,,,,13,93.53725529
,spatial_embedded,100000,1,1,1,10000,1000,0,lmm,1.162395828,0.945343852,0.035155948,,77,434.6025648
,spatial_embedded,100000,1,1,1,10000,1000,0,ignore,1.797612135,,,,22,37.98415685
,spatial_embedded,100000,1,1,1,10000,1000,0,embed,1.632136887,,,,17,46.31406283
,spatial_embedded,100000,1,1,1,10000,1000,1,ohe,1.691035738,,,,15,103.0617268
,spatial_embedded,100000,1,1,1,10000,1000,1,lmm,1.14453864,1.020409584,0.005963522,,51,290.1808004
,spatial_embedded,100000,1,1,1,10000,1000,1,ignore,1.708486224,,,,65,107.4999893
,spatial_embedded,100000,1,1,1,10000,1000,1,embed,1.66713265,,,,20,54.47372746
,spatial_embedded,100000,1,1,10,10000,1000,0,ohe,1.639696342,,,,14,99.86498117
,spatial_embedded,100000,1,1,10,10000,1000,0,lmm,1.146535211,1.083251119,0.029924897,,52,294.8910089
,spatial_embedded,100000,1,1,10,10000,1000,0,ignore,1.404983208,,,,23,38.49753284
,spatial_embedded,100000,1,1,10,10000,1000,0,embed,1.793546788,,,,18,49.90371609
,spatial_embedded,100000,1,1,10,10000,1000,1,ohe,1.688920036,,,,14,99.88740778
,spatial_embedded,100000,1,1,10,10000,1000,1,lmm,1.08113016,1.090069294,0.01534593,,46,262.1112599
,spatial_embedded,100000,1,1,10,10000,1000,1,ignore,1.531674912,,,,22,37.09697843
,spatial_embedded,100000,1,1,10,10000,1000,1,embed,1.731568024,,,,17,46.87465549
,spatial_embedded,100000,1,0.1,0.1,100,1000,0,ohe,1.23185657,,,,33,60.10181832
,spatial_embedded,100000,1,0.1,0.1,100,1000,0,lmm,1.241420082,1.291629434,0.437130064,,20,123.7006669
,spatial_embedded,100000,1,0.1,0.1,100,1000,0,ignore,1.217834436,,,,59,100.4752908
,spatial_embedded,100000,1,0.1,0.1,100,1000,0,embed,1.179737902,,,,22,56.03623343
,spatial_embedded,100000,1,0.1,0.1,100,1000,1,ohe,1.214664074,,,,22,38.29832435
,spatial_embedded,100000,1,0.1,0.1,100,1000,1,lmm,1.172547753,1.264656305,0.773989856,,28,164.016047
,spatial_embedded,100000,1,0.1,0.1,100,1000,1,ignore,1.246477451,,,,45,75.36587381
,spatial_embedded,100000,1,0.1,0.1,100,1000,1,embed,1.190178398,,,,34,86.50194263
,spatial_embedded,100000,1,0.1,1,100,1000,0,ohe,1.20184683,,,,19,33.15594125
,spatial_embedded,100000,1,0.1,1,100,1000,0,lmm,1.150031587,1.136112928,0.161009938,,69,385.9030726
,spatial_embedded,100000,1,0.1,1,100,1000,0,ignore,1.331499202,,,,21,36.1502037
,spatial_embedded,100000,1,0.1,1,100,1000,0,embed,1.235889499,,,,32,81.14824915
,spatial_embedded,100000,1,0.1,1,100,1000,1,ohe,1.167734848,,,,32,55.09541893
,spatial_embedded,100000,1,0.1,1,100,1000,1,lmm,1.138886738,1.132213831,0.174119413,,43,245.395174
,spatial_embedded,100000,1,0.1,1,100,1000,1,ignore,1.243251514,,,,26,43.88730025
,spatial_embedded,100000,1,0.1,1,100,1000,1,embed,1.19181807,,,,20,51.0619421
,spatial_embedded,100000,1,0.1,10,100,1000,0,ohe,1.16544683,,,,30,51.94793916
